Gene_symbol_ENTREZ_ID	Effect_size	p_value	q_value
FREM3 (166752)	0.000571462	0.962270711	0.976295007
KRTAP9-9 (81870)	0.000573908	0.784020378	0.84236649
LACTBL1 (646262)	0.000582702	0.811240461	0.864239699
OR6C3 (254786)	0.000583535	0.718513385	0.788807217
KRTAP9-8 (83901)	0.000590221	0.734244166	0.802029574
SPINT4 (391253)	0.000592047	0.72258122	0.792001309
SCYGR6 (112441431)	0.000598896	0.697865935	0.772537243
OR10V1 (390201)	0.000611948	0.725516826	0.794542558
FOXRED1 (55572)	0.000633901	0.991483682	0.996062322
OR4X1 (390113)	0.000645871	0.679303187	0.757092637
PCP2 (126006)	0.000646551	0.989290255	0.994598995
IFNA16 (3449)	0.000665412	0.715499856	0.786536275
VN1R2 (317701)	0.000666074	0.85072895	0.894654889
IFNA17 (3451)	0.00066975	0.682591934	0.760315353
KRTAP15-1 (254950)	0.0006714	0.648949498	0.7310515
RNASE12 (493901)	0.000671879	0.648337231	0.730533723
CBLL2 (158506)	0.000674078	0.704304197	0.778153546
PCDH11X (27328)	0.000677972	0.987621666	0.993656258
OR10G4 (390264)	0.000687866	0.711341504	0.783720175
TMEM64 (169200)	0.000693826	0.993936175	0.997897742
TMEM68 (137695)	0.000700525	0.989630685	0.994827234
DRD4 (1815)	0.000708361	0.977892492	0.986914116
POM121L12 (285877)	0.000727485	0.617703956	0.704307596
OR1A2 (26189)	0.000766146	0.611198837	0.698888456
SPATA31D3 (389762)	0.000781738	0.588496627	0.677914804
ACTL7A (10881)	0.000790002	0.79671982	0.852089622
OR52E8 (390079)	0.000790505	0.66833925	0.747789983
FRMD1 (79981)	0.000790568	0.973691223	0.98412675
DEFB136 (613210)	0.000794027	0.874854661	0.91295817
TEX53 (105376230)	0.000808062	0.889467865	0.922725307
OPN1MW2 (728458)	0.000819405	0.664819974	0.744984405
KRTAP13-1 (140258)	0.000820693	0.586575093	0.676265799
KRTAP19-2 (337969)	0.000826839	0.689026892	0.765478808
BRD3OS (266655)	0.000839866	0.990592298	0.995374187
FAM166B (730112)	0.000846952	0.978474412	0.987397298
OR2T6 (254879)	0.000853364	0.613755366	0.700820991
SPINT3 (10816)	0.000861034	0.584288028	0.674319388
PNKD (25953)	0.000868657	0.987008942	0.993182611
MLN (4295)	0.00089212	0.910946771	0.938983281
GPRC6A (222545)	0.000897656	0.911287852	0.939152381
FREM1 (158326)	0.000907322	0.990464373	0.995374187
MC2R (4158)	0.000913117	0.562996322	0.65583128
GPR33 (2856)	0.000919947	0.634279929	0.718798021
ACOD1 (730249)	0.000924032	0.757435781	0.820341174
USP17L22 (100287513)	0.000926567	0.537063764	0.632526102
SCGB1D4 (404552)	0.000929153	0.722802242	0.792198209
INS (3630)	0.000929609	0.931882777	0.954565353
VWC2L (402117)	0.000939423	0.934192681	0.955986365
OR5M1 (390168)	0.00094745	0.555907309	0.649553803
BPIFB3 (359710)	0.000947799	0.954281998	0.970367445
OR1A1 (8383)	0.000956113	0.647134081	0.729693418
MFSD14B (84641)	0.000961585	0.983528983	0.990670254
OR10C1 (442194)	0.000966124	0.565594535	0.658101366
PRM2 (5620)	0.000967434	0.684790464	0.762099096
CDKN2AIPNL (91368)	0.000982502	0.9859342	0.992414129
FAM47A (158724)	0.000986493	0.710833641	0.783314455
CLEC6A (93978)	0.000992244	0.741136075	0.807152061
OR2T4 (127074)	0.000998652	0.789074952	0.846135153
PSMB11 (122706)	0.001009887	0.599494259	0.688300234
OR2W1 (26692)	0.001010603	0.517474069	0.614624865
GFRAL (389400)	0.001013587	0.514737672	0.612318218
RESP18 (389075)	0.001024665	0.568178344	0.660305118
C5orf52 (100190949)	0.001041113	0.777000642	0.836938068
UQCR10 (29796)	0.001041506	0.982102308	0.989652124
KRT26 (353288)	0.001043583	0.556479991	0.650040697
DOCK7 (85440)	0.001053802	0.990642728	0.995374187
BOD1L2 (284257)	0.001055623	0.564416076	0.65712956
TMEM196 (256130)	0.001064498	0.963440616	0.97675725
TKTL2 (84076)	0.00106659	0.829604517	0.877865887
C10orf99 (387695)	0.001079697	0.988911942	0.994391436
UQCRFS1 (7386)	0.001080159	0.981916397	0.989646361
GK2 (2712)	0.001080434	0.793990311	0.849835095
GLT6D1 (360203)	0.001086079	0.601945801	0.690273077
BPIFA3 (128861)	0.001088069	0.467125375	0.566743658
RBMXL3 (139804)	0.001111134	0.477947309	0.577057472
C1QC (714)	0.001112088	0.869515316	0.908872575
ADRA1D (146)	0.001112925	0.989268165	0.994598995
C10orf120 (399814)	0.001114105	0.480255843	0.579369706
SCYGR2 (112441435)	0.001114576	0.767346677	0.828730948
OR6B1 (135946)	0.001131572	0.494731072	0.593169139
PPP4R3C (139420)	0.001133641	0.978748341	0.987621665
TPH2 (121278)	0.001137786	0.963135092	0.976737888
KRTAP6-3 (337968)	0.001143445	0.664973145	0.745112431
DNAJC5G (285126)	0.001144503	0.970309482	0.981589766
G6PC2 (57818)	0.001158249	0.798975373	0.854024821
OR10J5 (127385)	0.001158836	0.474189817	0.57346114
RGPD2 (729857)	0.001188104	0.989968236	0.995009813
TAS2R42 (353164)	0.001196947	0.784776796	0.842989955
PALB2 (79728)	0.001211453	0.977636127	0.986811453
GDF5OS (554250)	0.001212459	0.958022251	0.972861127
CCER1 (196477)	0.001214834	0.48923956	0.588205874
OR52B2 (255725)	0.0012203	0.625629149	0.711268153
UCP1 (7350)	0.001235123	0.954157354	0.970367445
SUN5 (140732)	0.001238282	0.463790442	0.563662025
OR51A2 (401667)	0.0012495	0.451698157	0.551486576
ACTL7B (10880)	0.001273436	0.670436906	0.749523716
NANOS2 (339345)	0.001278909	0.685361454	0.762633138
CYP21A2 (1589)	0.001280519	0.97084397	0.981974796
OR7C2 (26658)	0.00129276	0.558557129	0.651933769
LRRC74A (145497)	0.001293733	0.55630323	0.649897421
TECPR2 (9895)	0.001302004	0.983047722	0.9902376
OR8U1 (219417)	0.001308028	0.606136613	0.694094947
ZNF705A (440077)	0.001309061	0.743698573	0.80921709
HSD3B2 (3284)	0.001309516	0.878477729	0.915591117
OR4D5 (219875)	0.001333194	0.392348603	0.493049866
SCYGR4 (112441430)	0.001335638	0.574485045	0.665412736
LRIT1 (26103)	0.001342087	0.554405901	0.648393095
DMRTC2 (63946)	0.00137078	0.920230362	0.945467184
SCYGR1 (112441428)	0.001372757	0.878386276	0.915545645
OR5T2 (219464)	0.001378054	0.37962984	0.480854417
NECAP1 (25977)	0.001378288	0.979872841	0.988200028
BSX (390259)	0.001384045	0.918314096	0.944157092
ALKBH1 (8846)	0.001384883	0.972979763	0.983667331
SLC24A2 (25769)	0.001398012	0.956311555	0.971638289
ADAM30 (11085)	0.001403924	0.383527276	0.484636711
PRKAG1 (5571)	0.001410815	0.97623623	0.985970266
SLC22A12 (116085)	0.001415273	0.379556516	0.480793353
GPR32 (2854)	0.001433281	0.772066103	0.832935107
PATE1 (160065)	0.001434304	0.68301898	0.760614004
EDDM3B (64184)	0.001441855	0.507562999	0.60523558
MBD3L1 (85509)	0.001471523	0.66147123	0.741883252
TEX44 (165100)	0.001475212	0.708584015	0.781626758
HTR3D (200909)	0.001478034	0.48510917	0.584340902
OR4K13 (390433)	0.001485353	0.508293383	0.606014108
IFNA10 (3446)	0.00150033	0.493129336	0.591804665
TERB1 (283847)	0.001509302	0.845659662	0.890795014
CALM1 (801)	0.001520074	0.981008848	0.989120629
GOLGA6B (55889)	0.001521599	0.88195304	0.917770281
CST9L (128821)	0.001566306	0.381457868	0.482495717
TOLLIP (54472)	0.001577196	0.977739184	0.986863444
OR13D1 (286365)	0.001599833	0.560882188	0.653890056
MS4A10 (341116)	0.001625078	0.444842391	0.544853661
EME1 (146956)	0.001638631	0.981960571	0.989646361
FANCD2OS (115795)	0.001648573	0.900895747	0.931149346
EDDM3A (10876)	0.001668095	0.455581797	0.555166004
CYP7A1 (1581)	0.001668864	0.519109989	0.61607102
NKX1-1 (54729)	0.001672491	0.357583024	0.458326822
STH (246744)	0.001680485	0.923839976	0.94831059
KRTAP13-3 (337960)	0.001684821	0.410348188	0.511152199
KRTAP1-3 (81850)	0.001692602	0.815808501	0.867754081
DEFB133 (403339)	0.001698876	0.377753833	0.478985255
DNAJB9 (4189)	0.001701864	0.982140546	0.989652124
PNLIPRP1 (5407)	0.001702269	0.373660421	0.474643693
CETN1 (1068)	0.001703981	0.356717204	0.457554047
OR7G2 (390882)	0.001719174	0.534522376	0.630453846
B3GALT1 (8708)	0.001719352	0.975607073	0.985542811
OR2J2 (26707)	0.001738109	0.333444957	0.43404299
PREX2 (80243)	0.001775082	0.982510984	0.989905283
GJA10 (84694)	0.001781711	0.820752845	0.871560487
NMRK2 (27231)	0.00178356	0.953680844	0.970150702
SLC22A6 (9356)	0.001802118	0.396597093	0.497246365
KRTAP4-2 (85291)	0.001812801	0.510445253	0.608125205
OR2A42 (402317)	0.001823166	0.919969663	0.945272478
PRB1 (5542)	0.001826788	0.913886234	0.941019689
ORC5 (5001)	0.001839115	0.973592614	0.984079039
OR10AG1 (282770)	0.001844509	0.248152672	0.342116862
OR8B12 (219858)	0.001850371	0.532351704	0.628358161
APOL6 (80830)	0.001854773	0.98664675	0.992922535
DPPA4 (55211)	0.001865278	0.958505614	0.973248726
CLDN25 (644672)	0.001870388	0.327910027	0.428733066
OR8B8 (26493)	0.001879146	0.309393202	0.4092747
OR2W5 (441932)	0.001882496	0.343909878	0.44446167
OR10J3 (441911)	0.001885942	0.438055327	0.538331698
PRAMEF33 (645382)	0.001888234	0.517169294	0.614377224
C3orf22 (152065)	0.001892541	0.584167194	0.67426123
KRTAP10-1 (386677)	0.001899973	0.36127538	0.462192989
ZNF347 (84671)	0.001901085	0.985163435	0.991899064
PRAMEF19 (645414)	0.001902144	0.470218333	0.569629803
OR4B1 (119765)	0.001905741	0.407097246	0.507784055
LRRC30 (339291)	0.001912911	0.309281763	0.409155557
SLC25A52 (147407)	0.001913601	0.709024752	0.781847393
PRAMEF10 (343071)	0.001915672	0.449583794	0.549397798
ANKRD60 (140731)	0.00193801	0.345166973	0.445665107
KRTAP9-2 (83899)	0.001944228	0.321313571	0.421608391
BTF3L4 (91408)	0.001945935	0.967697103	0.979775404
TAS1R2 (80834)	0.001956547	0.317872783	0.418122616
TAS2R7 (50837)	0.001959799	0.283133498	0.38050598
KRTAP20-1 (337975)	0.00197012	0.326124175	0.426660371
TOMM6 (100188893)	0.002002787	0.968744222	0.980524447
OOSP4B (107987155)	0.002016544	0.3417136	0.442658947
PROP1 (5626)	0.002022513	0.683859788	0.76128463
PACS2 (23241)	0.002023435	0.973042381	0.983678689
SLC6A1 (6529)	0.002024217	0.900292424	0.930877568
C12orf40 (283461)	0.002026705	0.81633758	0.868172136
OVCH1 (341350)	0.00202809	0.906514323	0.935794564
CAMK2A (815)	0.002037269	0.955582194	0.971352772
SYCN (342898)	0.0020396	0.372564819	0.473566223
DEFB116 (245930)	0.00206967	0.272997042	0.369660163
OR2M5 (127059)	0.002071231	0.33229939	0.432787233
RANGAP1 (5905)	0.002077705	0.965826432	0.978295303
KRTAP22-2 (100288287)	0.002096274	0.580796415	0.671544758
TOPAZ1 (375337)	0.0020977	0.3805278	0.481771751
PRDM14 (63978)	0.002106174	0.37561365	0.476681984
ZNF446 (55663)	0.002128165	0.965455911	0.978064557
OR14J1 (442191)	0.002132931	0.307488971	0.407234096
EMC8 (10328)	0.002135838	0.960661024	0.975075269
WBP1 (23559)	0.002144313	0.97127037	0.982250395
HNRNPCL4 (101060301)	0.002164582	0.53023532	0.6264008
OPN1MW3 (101060233)	0.002171651	0.531896941	0.627937533
DEFB108B (245911)	0.002176269	0.646471438	0.729118017
ASB18 (401036)	0.002179367	0.810041364	0.863202442
APOA5 (116519)	0.002181896	0.718509369	0.788807217
PRAMEF15 (653619)	0.002199451	0.704337894	0.778153546
RNASE9 (390443)	0.002217704	0.300344633	0.399513456
TMEM78 (677790)	0.002238953	0.492154549	0.591005312
PIH1D3 (139212)	0.002245281	0.469194745	0.568569705
NPBWR2 (2832)	0.002268876	0.841789464	0.887792943
HPR (3250)	0.002272905	0.928902217	0.952179484
FAM71E2 (284418)	0.002277863	0.452300199	0.552080783
OR12D3 (81797)	0.002289019	0.284085958	0.38154494
TXNDC8 (255220)	0.002290755	0.24569673	0.339292952
AIRE (326)	0.002292707	0.905288214	0.934780883
OR6T1 (219874)	0.002302724	0.247330857	0.341244525
GMCL2 (64396)	0.002307496	0.661221387	0.741646486
GRM1 (2911)	0.002340889	0.934091268	0.955962965
SPRY3 (10251)	0.002342737	0.933528494	0.955591354
OR8B4 (283162)	0.002375761	0.240766372	0.333736255
MS4A18 (728588)	0.002377303	0.464121106	0.563920693
FOXR2 (139628)	0.002377802	0.961802449	0.976030035
GCM2 (9247)	0.002378351	0.362227499	0.463039747
HMGB4 (127540)	0.002416859	0.536915879	0.632458626
CACNA1E (777)	0.002420905	0.956361276	0.971638289
PPIAL4E (730262)	0.00244726	0.405931998	0.506776658
CELA2A (63036)	0.002450575	0.705721684	0.779142786
SLC22A25 (387601)	0.002466412	0.684756608	0.762099096
GBP7 (388646)	0.002470718	0.823633611	0.873553565
HSFX3 (101928917)	0.002476787	0.738098784	0.805003952
KRTAP10-8 (386681)	0.002483991	0.403694285	0.504657398
PRAMEF18 (391003)	0.002484873	0.361850417	0.462735749
TEX101 (83639)	0.002495221	0.903639177	0.933380188
EFCAB8 (388795)	0.002497277	0.920860665	0.945810213
RBM23 (55147)	0.002497545	0.966688789	0.978961605
OR6C76 (390326)	0.002500272	0.241632426	0.334645965
GLYAT (10249)	0.002533436	0.79199005	0.848453135
KRTAP5-3 (387266)	0.002559978	0.492556634	0.591339785
IFNA13 (3447)	0.002564866	0.687256213	0.763954996
PSG7 (5676)	0.002571175	0.942779151	0.962049853
MYL10 (93408)	0.002573433	0.937755712	0.958432297
SLC38A10 (124565)	0.002589255	0.962853506	0.976679252
CALCB (797)	0.002602519	0.97988932	0.988200028
OR10H2 (26538)	0.002610345	0.429483472	0.530291224
DEFB131B (100129216)	0.002635895	0.718985327	0.789044457
OR6B2 (389090)	0.002659499	0.421155437	0.521952462
CCL21 (6366)	0.002664377	0.637546029	0.721516977
FOXJ3 (22887)	0.002675909	0.955680133	0.971358666
OR5V1 (81696)	0.00267678	0.378651036	0.479868624
ACTRT1 (139741)	0.002683487	0.467853326	0.56744704
KRTAP12-2 (353323)	0.002683558	0.3900237	0.490933902
VN1R5 (317705)	0.002689648	0.745324018	0.810386948
OR9K2 (441639)	0.002691989	0.34244642	0.443138723
NABP2 (79035)	0.002695997	0.956433896	0.971655377
ARHGAP10 (79658)	0.002698652	0.978216792	0.987189365
OR6B3 (150681)	0.002710067	0.273029757	0.369660972
SLC1A2 (6506)	0.002716364	0.964776986	0.977749636
VPS72 (6944)	0.002726891	0.958978725	0.973625834
TRIM60 (166655)	0.00272745	0.697135586	0.771933811
SPATA19 (219938)	0.002731789	0.554311803	0.648322651
OSBPL7 (114881)	0.002734271	0.975833581	0.985667603
SIRPD (128646)	0.002741533	0.920823784	0.945810213
MUC2 (4583)	0.002764011	0.977017106	0.986394656
MAGEB4 (4115)	0.002779221	0.366311936	0.467480548
SDHAF1 (644096)	0.002802363	0.956730279	0.97180689
DEFB107A (245910)	0.00280246	0.410810597	0.511546733
DEFB107B (503614)	0.00280246	0.410810597	0.511546733
GSG1L2 (644070)	0.002812022	0.301706444	0.400937916
ST8SIA6 (338596)	0.002814155	0.961932861	0.976055689
OR5P2 (120065)	0.002818965	0.581360409	0.672034519
SUMO3 (6612)	0.002822085	0.963175687	0.976737888
OR11A1 (26531)	0.002832134	0.272816799	0.369468365
CNOT3 (4849)	0.002835329	0.953346289	0.969913449
TPD52L3 (89882)	0.002845532	0.644822735	0.727558581
KRTAP21-3 (100288323)	0.002846265	0.256230957	0.35097921
FAM47C (442444)	0.002850388	0.133853709	0.203243608
NSG2 (51617)	0.0028532	0.981071662	0.989131867
KIR3DL3 (115653)	0.002853776	0.202738984	0.289105036
OR51A7 (119687)	0.002854391	0.135165956	0.204976003
ZNF705B (100132396)	0.002855425	0.494100989	0.592636384
OR9A4 (130075)	0.002861824	0.869671912	0.908946284
TEX28 (1527)	0.00286777	0.22170095	0.311664194
OR2A1 (346528)	0.002867943	0.911578169	0.93935044
CYP3A43 (64816)	0.002885699	0.659452054	0.740095563
GAB4 (128954)	0.002888053	0.690502141	0.766717301
GAGE12G (645073)	0.002894505	0.187079111	0.270236362
TMEM95 (339168)	0.002895104	0.12163458	0.187259541
PPIB (5479)	0.002897399	0.966588901	0.978912232
TTC27 (55622)	0.002900442	0.953972598	0.970292817
PATE3 (100169851)	0.002906154	0.285638776	0.383227186
OR51J1 (79470)	0.002907376	0.6726671	0.751314992
TGM7 (116179)	0.002912341	0.857132031	0.89936616
SCD5 (79966)	0.002914665	0.982908219	0.990149176
CLDN24 (100132463)	0.00293225	0.909123624	0.937780196
TECTB (6975)	0.002937103	0.750178855	0.814416695
KRTAP9-4 (85280)	0.002945785	0.139774421	0.210896558
OR4F16 (81399)	0.002952852	0.500164199	0.598035315
OR4F29 (729759)	0.002952852	0.500164199	0.598035315
CNMD (11061)	0.002980361	0.931885839	0.954565353
OR4F15 (390649)	0.002982008	0.518487709	0.615485131
CCDC166 (100130274)	0.002983461	0.625347353	0.711074467
PMM2 (5373)	0.002994569	0.952408191	0.969268109
POP1 (10940)	0.003051375	0.96266372	0.976538484
NOVA2 (4858)	0.00305369	0.96341255	0.97675725
SOX14 (8403)	0.003064508	0.929724927	0.952716733
ADGRA1 (84435)	0.003067934	0.93833125	0.958929327
USP17L15 (100288520)	0.003069139	0.147297274	0.220508212
DEFB104A (140596)	0.003072043	0.215185659	0.303978324
DEFB104B (503618)	0.003072043	0.215185659	0.303978324
C2orf80 (389073)	0.003084171	0.849246892	0.893590333
FAM187B (148109)	0.003097988	0.339562107	0.44047818
OXT (5020)	0.00310884	0.885410123	0.920304264
GTF2F2 (2963)	0.003126216	0.950792946	0.967778614
MEP1B (4225)	0.003133904	0.925500477	0.949353327
N4BP1 (9683)	0.003146931	0.954350097	0.970367445
ASB11 (140456)	0.003166872	0.886284081	0.920769656
CXCL9 (4283)	0.003191731	0.8196852	0.870716539
OR2H2 (7932)	0.003197516	0.830856231	0.878871157
MAGEB10 (139422)	0.003202871	0.666839572	0.746810388
ZDHHC19 (131540)	0.003206219	0.934696052	0.95632629
SRSF8 (10929)	0.003210181	0.963322401	0.976740852
TAAR9 (134860)	0.003240351	0.545920507	0.64058242
OR2B2 (81697)	0.003262417	0.27093593	0.36744102
C5orf47 (133491)	0.003263177	0.633375084	0.718070153
MRPL27 (51264)	0.003270828	0.946471212	0.964816021
SPATA31A6 (389730)	0.003285195	0.280954627	0.378161807
RSAD2 (91543)	0.003317236	0.97749002	0.986811453
ZXDB (158586)	0.003328697	0.94372272	0.96258877
KRTAP4-5 (85289)	0.003334848	0.322176403	0.422477229
IQCA1L (392843)	0.003339381	0.588757791	0.678088026
VRTN (55237)	0.003349066	0.759365972	0.822059611
ZNF28 (7576)	0.003358323	0.968733342	0.980524447
FTMT (94033)	0.003364003	0.530101148	0.626280941
CEACAM18 (729767)	0.003424828	0.664261414	0.74457641
CTAGE1 (64693)	0.003430122	0.711549756	0.783856199
COPS5 (10987)	0.003431093	0.933655302	0.95561583
OR1L4 (254973)	0.003449677	0.3897131	0.490768819
TWISTNB (221830)	0.00346408	0.949286362	0.96691344
SCT (6343)	0.003466561	0.786991164	0.844799755
CLDN5 (7122)	0.003471954	0.955161656	0.971037902
FOXS1 (2307)	0.003511226	0.962469887	0.976393948
SEC16A (9919)	0.003520995	0.938976092	0.959269882
DEFB112 (245915)	0.003529209	0.361121436	0.462026917
OR51F2 (119694)	0.003548217	0.171096666	0.250514308
OR9A2 (135924)	0.003554694	0.267372569	0.363561365
C14orf177 (283598)	0.003563973	0.491198679	0.590162926
MRAP (56246)	0.003563974	0.27567519	0.372292247
FAM240B (110806297)	0.003575244	0.395871723	0.496597095
NLRP2B (286430)	0.00358178	0.277403296	0.374355611
CATSPER4 (378807)	0.00359903	0.301584872	0.400875111
BPIFB6 (128859)	0.003612618	0.56370059	0.656456237
UGT2A3 (79799)	0.003629944	0.931644048	0.954427873
C2orf83 (56918)	0.003634395	0.1611521	0.238343199
ZFP69 (339559)	0.003672252	0.95977532	0.974279587
TRIM77 (390231)	0.003683656	0.150471817	0.224715849
CPO (130749)	0.003690961	0.735585156	0.803076686
CDRT15L2 (256223)	0.00369176	0.513724838	0.61142358
H1FOO (132243)	0.003699085	0.109557934	0.171362694
PRM3 (58531)	0.003701137	0.203496987	0.290013125
DPEP2NB (100131303)	0.003712614	0.220559329	0.310287169
RUNDC3B (154661)	0.003714583	0.949554916	0.967019723
RHO (6010)	0.003726717	0.127878319	0.195332525
KRT35 (3886)	0.003728228	0.371251972	0.472203034
OCM (654231)	0.003746908	0.802139598	0.856641775
OR1G1 (8390)	0.003753786	0.164803766	0.242879392
TMEM202 (338949)	0.003767609	0.168309937	0.247228223
IL25 (64806)	0.003776067	0.0746186	0.123455057
ALLC (55821)	0.003804139	0.868885229	0.908362757
OR5J2 (282775)	0.003847229	0.181807004	0.263675248
OR5AK2 (390181)	0.003847462	0.589778655	0.678773751
AMPD3 (272)	0.003858659	0.968455276	0.980387489
FUNDC2 (65991)	0.003869158	0.949051958	0.966880458
SPAM1 (6677)	0.003877952	0.048245607	0.08482861
CDK1 (983)	0.003879044	0.958146338	0.972935527
C10orf62 (414157)	0.003888524	0.763407125	0.825454166
OR4D1 (26689)	0.003902426	0.366198532	0.46739814
YIPF7 (285525)	0.003933197	0.635664735	0.719941175
CDKL4 (344387)	0.003935777	0.858846059	0.900621656
TEX43 (389320)	0.003936605	0.459767942	0.559661569
HOMER1 (9456)	0.003950323	0.957876436	0.972764654
OR2A5 (393046)	0.003962516	0.560173478	0.653302532
C2orf78 (388960)	0.003977589	0.629652348	0.714702181
CCDC63 (160762)	0.003979351	0.652457686	0.733718041
GNPTG (84572)	0.003980428	0.942916365	0.962114428
OR1C1 (26188)	0.004016386	0.21275472	0.300943793
ZNF335 (63925)	0.004016573	0.924511081	0.948795976
KRTAP6-1 (337966)	0.00404165	0.162202193	0.239635652
DHX40 (79665)	0.004045361	0.949201272	0.96691344
OR9G1 (390174)	0.004055741	0.385861436	0.48701605
TMEM173 (340061)	0.004064135	0.982208021	0.989652124
OTUD6B (51633)	0.004065013	0.942144886	0.961666463
OR51G1 (79324)	0.004066329	0.091239816	0.146584008
MCL1 (4170)	0.004092698	0.951442475	0.968388258
PAAF1 (80227)	0.004106219	0.939195458	0.959391593
PAGE3 (139793)	0.004116739	0.308298543	0.40810865
NUTM2F (54754)	0.004119336	0.495213253	0.593598555
OR10G7 (390265)	0.004137589	0.238547089	0.331253413
UPP2 (151531)	0.004145392	0.630637938	0.715417968
RGS22 (26166)	0.00414735	0.875763089	0.913806539
RSF1 (51773)	0.004154476	0.941573942	0.961359549
OR52L1 (338751)	0.004161357	0.1327318	0.201833648
BSPH1 (100131137)	0.004166935	0.35191029	0.452722975
RNASE8 (122665)	0.004169469	0.153116211	0.227974257
PRSS48 (345062)	0.004211003	0.403167587	0.504031887
TEX26 (122046)	0.004230089	0.777502838	0.837290563
OR51A4 (401666)	0.004240693	0.098841452	0.156926584
SRD5A2 (6716)	0.004250131	0.512565451	0.610211566
TMEM207 (131920)	0.004310837	0.503622496	0.601119088
KRTAP4-3 (85290)	0.004339007	0.254373448	0.348984183
ZNF454 (285676)	0.00434177	0.922373938	0.947059623
OR4M2 (390538)	0.004358721	0.384280704	0.485460591
CCDC27 (148870)	0.004362977	0.119977184	0.185139708
SIGLEC11 (114132)	0.00436303	0.817850869	0.869395137
NCAPG2 (54892)	0.004368831	0.949850002	0.967127351
ARHGAP20 (57569)	0.004370705	0.949269791	0.96691344
OR6M1 (390261)	0.004372589	0.175609374	0.256103136
SERPINB12 (89777)	0.004372793	0.652324533	0.733718041
SPZ1 (84654)	0.004377263	0.501439591	0.599122617
OR2AT4 (341152)	0.004378025	0.375751491	0.476762099
DEFA6 (1671)	0.004379096	0.844128388	0.889671541
CFHR5 (81494)	0.004425382	0.120442363	0.185782661
WFDC9 (259240)	0.004489731	0.143533727	0.215582118
PRAMEF1 (65121)	0.004512252	0.724416598	0.793740347
OR8B2 (26595)	0.004514364	0.064293343	0.108865359
C1orf185 (284546)	0.004529087	0.424383952	0.525079837
AADACL4 (343066)	0.004534376	0.570686785	0.662101003
KRTAP5-11 (440051)	0.004545452	0.19222138	0.276496062
FOXD4L4 (349334)	0.004554168	0.80485447	0.858870345
SLC2A7 (155184)	0.004558484	0.391488143	0.492291711
IFNA8 (3445)	0.004568872	0.254863086	0.349480619
ODF1 (4956)	0.004570339	0.70471499	0.778345571
TIMM10 (26519)	0.004595156	0.933114831	0.955270071
C20orf173 (140873)	0.004596903	0.292029418	0.390596743
RNASE13 (440163)	0.00461488	0.197318053	0.282595707
IL27 (246778)	0.004647363	0.802219229	0.856679027
ZNF705G (100131980)	0.004662249	0.389335133	0.490357354
MOS (4342)	0.004668046	0.231255451	0.322823679
ZNF479 (90827)	0.004672585	0.708015555	0.781269801
ARGFX (503582)	0.004674963	0.268472815	0.364746545
PPP1R3A (5506)	0.004680924	0.561968839	0.654837875
C1orf74 (148304)	0.004682269	0.924009392	0.94838279
OR1L8 (138881)	0.004685066	0.426205492	0.5268469
PPP3R2 (5535)	0.004690868	0.30861483	0.408388369
CST9 (128822)	0.004691558	0.041526398	0.074513204
PBOV1 (59351)	0.004703976	0.147806683	0.221167043
C1QTNF9 (338872)	0.004710341	0.687205908	0.763943436
BANP (54971)	0.004710638	0.914573096	0.941625651
TEX51 (101929926)	0.004723376	0.371911408	0.47286126
OR11H1 (81061)	0.004730804	0.259869252	0.355044755
GOSR1 (9527)	0.004735094	0.916064455	0.942400877
PRR32 (100130613)	0.004761019	0.831654675	0.879235536
PRAMEF25 (441873)	0.004790993	0.394366649	0.49493609
ANGPTL8 (55908)	0.004796653	0.60876822	0.696483523
SMIM10L1 (100129361)	0.004800419	0.918109697	0.944048343
ILF2 (3608)	0.004811166	0.93244928	0.954860546
SLC25A2 (83884)	0.004825877	0.421238498	0.522021609
TAS2R8 (50836)	0.00483514	0.196854696	0.2820587
GOSR2 (9570)	0.004878954	0.91507464	0.941787479
ZNF723 (646864)	0.004888691	0.849843625	0.893972546
MRGPRX1 (259249)	0.004903436	0.366422235	0.467558972
OPN5 (221391)	0.004920242	0.478401415	0.577569319
SPEM3 (107983988)	0.004950065	0.087159768	0.140904121
KCNG4 (93107)	0.004950152	0.65149922	0.733072005
ODF4 (146852)	0.004954733	0.41233227	0.512974774
ZC3H11B (643136)	0.004974294	0.852566456	0.895999793
DAOA (267012)	0.004986743	0.208505769	0.295961625
IFIT1B (439996)	0.005014466	0.270316969	0.366705503
KRTAP2-4 (85294)	0.005018908	0.471103489	0.570449412
FEZF2 (55079)	0.005022138	0.087421553	0.141231916
TNPO1 (3842)	0.005034583	0.93634258	0.957385647
SPEM1 (374768)	0.00505702	0.571270324	0.662530992
SFR1 (119392)	0.005086071	0.934214005	0.955986365
TGIF2LY (90655)	0.00508725	0.778863014	0.838328038
MTRNR2L3 (100462983)	0.005119542	0.335996481	0.436829653
MTHFD1 (4522)	0.005159816	0.932782558	0.95508313
CBX8 (57332)	0.005172438	0.933088433	0.955270071
SLC11A1 (6556)	0.005173401	0.858126864	0.900104377
KRTAP5-7 (440050)	0.00518448	0.591230511	0.680158458
SSX4B (548313)	0.005187673	0.89607607	0.92767036
APOF (319)	0.00520229	0.47293856	0.572273294
CYP4A22 (284541)	0.005221628	0.125117255	0.191726945
OR1M1 (125963)	0.005238878	0.009086353	0.019728836
